id,lat,lon,e,alat,alon,address,district,plz,educational,topics,languages,name,type,parent,parentType,mo_o,mo_c,tu_o,tu_c,we_o,we_c,th_o,th_c,fr_o,fr_c,all,over,under
274129,52.5053876,13.5528564,0,52.50581,13.55291,"Grabensprung 51","Biesdorf",12683,"0",,,"casa dei bambini",0,0,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,100,73,27
2032,52.49747,13.51174,0,52.49741,13.5119,"Sewanstr. 197 -199","Friedrichsfelde",10319,"1",,,"Erlebniswelt",0,0,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,196,134,62
1376,52.4794894,13.4406379,0,52.47999,13.44072,"Donaustr. 88","Neukölln",12043,"2|3","0|1|2|3|4|5","0|1|2|3","Mosaik",0,1,1,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,130,85,45
640,52.5282358,13.6180662,0,52.52823,13.61797,"Waldheimer Str. 18 -20","Hellersdorf",12627,"2",,,"Naseweis",0,0,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,185,135,50
2148,52.54892,13.56246,0,52.54884,13.56259,"Jan-Petersen-Str. 27","Marzahn",12679,"2",,,"Schwalbennest",0,0,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,202,153,49
2010,52.5183049,13.4827176,0,52.51842,13.48247,"Rudolf-Reusch-Str. 57","Lichtenberg",10367,"2",,,"Sonnengarten",0,0,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,65,47,18
627,52.5252217,13.4746268,0,52.52516,13.47473,"Paul-Junius-Str. 32","Fennpfuhl",10369,"4",,,"Spatzennest",0,0,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,158,116,42
2060,52.5593051,13.4761485,1,52.55666,13.46483,"Große Seestr. 5","Weißensee",13088,,,,"Villa Seegarten",0,0,0,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30,06:30,17:30,50,29,21
2523,52.62904,13.38272,0,52.62843,13.38757,"Schildower Str. 20","Blankenfelde",13159,,"6",,"Waldkindergarten Pankow e.V. - Die Waldläufer",0,2,2,0,0,0,0,0,0,0,0,0,0,39,25,14
452129,52.4894012,13.4548858,0,52.48921,13.45475,"Elsenstr. 102A","Alt-Treptow",12435,,,,"2. Kita Pretty World",0,3,1,0,0,0,0,0,0,0,0,0,0,45,45,0
608229,52.47892,13.51381,0,52.47888,13.51387,"Liepnitzstr. 49","Karlshorst",10318,"2",,,"ABC Kindergarten",0,4,1,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,25,15,10
2781,52.49792000000001,13.302,0,52.49789,13.30196,"Cicerostr. 63","Wilmersdorf",10709,"2",,,"ABC-Kindergarten",0,4,1,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,25,15,10
686229,52.5118419,13.3881619,0,52.51187,13.38819,"Mohrenstr. 11","Mitte",10117,,,"1|4","Alegria Kiga",0,5,1,07:30,18:30,07:30,18:30,07:30,18:30,07:30,18:30,07:30,18:30,48,30,18
56,52.52968000000001,13.43022,0,52.52949,13.42994,"Am Friedrichshain 18A","Prenzlauer Berg",10407,"5",,,"Am Hain",0,0,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,80,58,22
209,52.428169,13.543557,0,52.4282,13.54352,"Am Studio 5","Adlershof",12489,"2",,,"Am Studio 5 / Kitas SüdOst",0,6,0,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,83,53,30
606279,52.6051176,13.4325524,0,52.60486,13.43211,"Hauptstr. 13","Französisch Buchholz",13127,,,,"ASB Hugenottenhofkita Berlin",0,7,1,0,0,0,0,0,0,0,0,0,0,123,null,null
182129,52.4959684,13.4745211,0,52.49579,13.47457,"Am Speicher 2","Friedrichshain",10245,"6|2",,,"Außenstelle FRÖBEL Kindergarten Palmkernzeile",0,8,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,20,20,0
2425,52.4916552,13.404509,0,52.49107,13.40597,"Blücherstr. 46 -47","Kreuzberg",10961,"7|2",,,"AWO Europakita",0,9,3,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,90,54,36
480129,52.5247201,13.3464529,0,52.52477,13.34646,"Alt-Moabit 98","Moabit",10559,,,,"AWO Kita am Spreebogen",0,9,3,0,0,0,0,0,0,0,0,0,0,40,30,10
1125,52.4029373,13.5098348,0,52.40287,13.5099,"Jeanette-Wolff-Str. 13","Rudow",12355,"2",,,"AWO Kita Die wilde 13",0,10,3,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,105,105,0
1454,52.59814,13.30593,0,52.5981,13.30572,"Erholungsweg 1","Tegel",13509,"2",,,"AWO Kita Freie Scholle",0,10,3,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,75,57,18
1996,52.4851912,13.5340077,0,52.48522,13.53412,"Honnefer Str. 25","Karlshorst",10318,"2",,,"AWO Kita Grashüpfer",0,10,3,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,150,150,0
1109,52.49534999999999,13.43189,0,52.49528,13.43187,"Reichenberger Str. 122","Kreuzberg",10999,"2",,,"AWO Kita Kastanie",0,9,3,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,60,36,24
1020,52.56924,13.30816,0,52.56918,13.30844,"Klixstr. 31D","Reinickendorf",13403,"2",,,"AWO Kita Kinderwelt",0,10,3,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,135,95,40
